Tabel Kemampuan Uji Laboratorium Obat dan Nappza;;;;;;;;;;
;;;;;;;;;;
NO;ZAT AKTIF;JENIS SEDIAAN;BENTUK SEDIAAN;PARAMETER UJI ;Metode Uji (PNBP);Jumlah Sampel;;Harga;"Harga Total
(sudah termasuk organoleptik)";
;;;;;;Minimal;Satuan;;;
;;;;;;;;;;
;;;;Disolusi ;;12;;Rp851.297;;
57;DEXAMETHASONE SODIUM PHOSPHATE;Steril;Injeksi;Pemerian;organoleptik;3;Vial;Rp31.257;;
;;;;Identifikasi;KCKT;20;;;;
;;;;Penetapan Kadar;;20;;;;
;;;;pH ;pH meter;3;;Rp851.297;;
58;METHYLPREDNISOLONE;Oral;Tablet;Pemerian;organoleptik;3;Tablet;Rp31.257;;
;;;;Identifikasi;KCKT;20;;;;
;;;;Penetapan Kadar;;20;;;;
;;;;Keseragaman Sediaan;;10;;;;
;;;;Disolusi ;Spektrofotometri UV-Vis;12;;Rp851.297;;
59;OXYTOCIN;Steril;Injeksi;Pemerian;organoleptik;3;Vial;Rp31.257;;
;;;;Identifikasi;KCKT;20;;;;
;;;;Penetapan Kadar ;;20;;Rp851.297;;
;;;;pH;pH meter;3;;;;
60;PROPYLTHIOURACIL;Oral;Tablet;Pemerian;organoleptik;3;Tablet;Rp31.257;;
;;;;Identifikasi;KCKT;20;;;;
;;;;Penetapan Kadar;;20;;Rp1.550.055;;
;;;;Keseragaman Sediaan;penimbangan;10;;;;
;;;;Disolusi ;Spektrofotometri UV-Vis;12;;Rp851.297;;
61;TRIAMCINOLONE;Oral;Tablet;Pemerian;organoleptik;3;Tablet;;;
;;;;Identifikasi;KCKT;20;;;;
;;;;Penetapan kadar;;20;;Rp1.550.055;;
;;;;Keseragaman Kandungan;;10;;;;
;;;;Disolusi;Spektrofotometri UV-Vis;12;;Rp851.297;;
62;TRIAMCINOLONE ACETONIDE;Steril;Suspensi Injeksi;Pemerian;organoleptik;3;Botol;Rp31.257;;
;;;;Identifikasi;KCKT;20;;;;
;;;;Penetapan Kadar;;20;;;;
;;;;pH;pH meter;3;;;;
63;ALBENDAZOLE;Oral;Suspensi Oral;Pemerian;organoleptik;3;Botol;Rp31.257;;
;;;;Identifikasi;KCKT;20;;;;
;;;;Penetapan Kadar;;20;;;;
;;;;pH ;pH meter;3;;Rp851.297;;
64;ALBENDAZOLE;Oral;Tablet Kunyah;Pemerian;organoleptik;3;Tablet;Rp31.257;;
;;;;Identifikasi;KCKT;20;;;;
;;;;Penetapan Kadar;KCKT dan Spektrofotometri UV-Vis;20;;Rp851.297;;
;;;;Disolusi;Spektrofotometri UV-Vis;12;;Rp1.550.055;;
65;ARTESUNATE;Steril;Untuk Injeksi;Pemerian;organoleptik;3;Vial;Rp31.257;;
;;;;Identifikasi;KCKT;20;;;;
;;;;Penetapan kadar;;20;;Rp851.297;;
66;DIETHYLCARBAMAZINE CITRATE;Oral;Tablet;Pemerian;organoleptik;3;Tablet;Rp31.257;;
;;;;Identifikasi;KCKT;20;;;;
;;;;Penetapan Kadar;;20;;Rp1.550.055;;
;;;;Disolusi ;;12;;Rp851.297;;
67;LEVAMISOLE HCL;Oral;Tablet;Pemerian;organoleptik;3;Tablet;Rp31.257;;
;;;;Identifikasi;KCKT;20;;;;
;;;;Penetapan Kadar;;20;;;;
;;;;Keseragaman Sediaan;;10;;Rp851.297;;
;;;;Disolusi ;Spektrofotometri UV-Vis;12;;;;
68;MEBENDAZOLE;Oral;Tablet Kunyah;Pemerian;organoleptik;3;Tablet;Rp31.257;;
;;;;Identifikasi;KCKT;20;;;;
;;;;Penetapan Kadar;;20;;Rp851.297;;
;;;;Keseragaman Sediaan;Spektrofotometri UV-Vis;10;;;;
;;;;Disolusi;KCKT;12;;Rp1.550.055;;
69;METRONIDAZOLE;Steril;Injeksi;Pemerian;organoleptik;3;Vial;Rp31.257;;
;;;;Identifikasi;KCKT;20;;;;
;;;;Penetapan Kadar;;20;;;;
;;;;pH ;pH meter;3;;Rp851.297;;
70;METRONIDAZOLE;Oral;Tablet;Pemerian;Organoleptik;3;Tablet;Rp31.257;;
